Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
ENE0011,LABORATÓRIO DE REDES,B,2021.1,FLAVIO ELIAS GOMES DE DEUS (30h),6M34,30,13,Remoto
ENE0046,LABORATÓRIO DE ELETRÔNICA,C,2021.1,JOSE ONIRAM DE AQUINO LIMAVERDE FILHO (30h),3T23,20,5,A definir
ENE0295,LABORATÓRIO DE PRINCÍPIOS DE COMUNICAÇÃO,C,2021.1,ADONIRAN JUDSON DE BARROS BRAGA (30h),2T23,20,13,SG-11 A1-09/12
ENE0046,LABORATÓRIO DE ELETRÔNICA,D,2021.1,JOSE ONIRAM DE AQUINO LIMAVERDE FILHO (30h),5M34,21,21,A definir
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,I,2021.1,MARCELO MENEZES DE CARVALHO (30h),2M5 2T1,1,1,Remoto
ENE0038,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 2,B,2021.1,JOSE ALFREDO RUIZ VARGAS (30h),5T6 5N1,20,18,A Definir
ENE0002,LABORATÓRIO DE ELETRICIDADE BÁSICA,C,2021.1,ALCIDES LEANDRO DA SILVA (30h),3T23,15,15,SG-11 AT-49/14
ENE0040,LABORATÓRIO DE SISTEMAS DIGITAIS,D,2021.1,LUIS FERNANDO RAMOS MOLINARO (30h),6M34,20,13,A definir
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,F,2021.1,JOAO JOSE DA SILVA JUNIOR (15h),3M5 3T1,1,1,REMOTO
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,58,2021.1,ALEXANDRE RICARDO SOARES ROMARIZ (150h),23456N3,10,1,virtual
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,44,2021.1,FERNANDO CARDOSO MELO (150h),23456N3,1,3,A definir
ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,B,2021.1,ACHILES FONTANA DA MOTA (30h),2T45,20,8,A Definir
ENE0073,LABORATÓRIO DE SISTEMAS ELÉTRICOS DE POTÊNCIA,A,2021.1,KLEBER MELO E SILVA (30h),2T23,16,13,SG-11 AT-47/14
ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,D,2021.1,JOSE ONIRAM DE AQUINO LIMAVERDE FILHO (30h),3T6 3N1,20,3,A Definir
ENE0295,LABORATÓRIO DE PRINCÍPIOS DE COMUNICAÇÃO,D,2021.1,ADONIRAN JUDSON DE BARROS BRAGA (30h),2T45,20,6,SG-11 A1-09/12
ENE0074,LABORATÓRIO DE CONVERSÃO DE ENERGIA,B,2021.1,GERSON HENRIQUE PFITSCHER (30h),4T45,10,10,SG-11 AT-47/14
