Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
MAT0025,CÁLCULO 1,Z,2021.1,JANETE SOARES DE GAMBOA (60h),246T23,80,59,ICC ANF.12 E ICC ANF. 7
MAT0034,ALGEBRA 1,C,2021.1,JOSE ANTONIO OLIVEIRA DE FREITAS (60h),36N12,45,40,ICC ASS 439/10
MAT0038,TEORIA DOS NÚMEROS 1,A,2021.1,HEMAR TEIXEIRA GODINHO (60h),35M34,70,29,BSA S A2 16/22
MAT0027,CÁLCULO 3,A,2021.1,ANDRE CALDAS DE SOUZA (90h),246T23,70,30,ICC ANF. 5
MAT0022,MATEMATICA 1,K,2021.1,GENILDO DE JESUS NERY (30h),2N12 6N34,80,19,ICC ANF.12
MAT0031,INTRODUCAO A ALGEBRA LINEAR,D,2021.1,ARY VASCONCELOS MEDINO (60h),24T45,70,36,ICC ANF. 6
MAT0031,INTRODUCAO A ALGEBRA LINEAR,E,2021.1,ALBERTO MASAYOSHI FARIA OHASHI (60h),35N12,70,50,ICC ANF. 6
MAT0025,CÁLCULO 1,41,2021.1,ROGERIO CESAR DOS SANTOS (90h),246M34,40,23,Remoto - FUP
MAT0022,MATEMATICA 1,C,2021.1,RAQUEL CARNEIRO DORR (30h),35M12,80,49,virtual
MAT0034,ALGEBRA 1,A,2021.1,CRISTINA ACCIARRI (60h),35M12,45,18,ICC ASS 439/10
MAT0025,CÁLCULO 1,O,2021.1,PAVEL ZALESSKI (60h),356M12,80,39,virtual
MAT0025,CÁLCULO 1,03A,2021.1,VINICIUS DE CARVALHO RISPOLI (90h),235M12,131,0,Remoto - FGA
MAT0031,INTRODUCAO A ALGEBRA LINEAR,F,2021.1,CRISTINA ACCIARRI (60h),24T45,70,32,ICC ANF. 7
MAT0027,CÁLCULO 3,03A,2021.1,WYTLER CORDEIRO DOS SANTOS (90h),235T45,80,35,Remoto - FGA
MAT0027,CÁLCULO 3,K,2021.1,PAULO HENRIQUE PEREIRA DA COSTA (90h),246N12,70,57,ICC ASS 415/10
MAT0022,MATEMATICA 1,L,2021.1,EDUARDO ANTONIO DA SILVA (60h),35N34,80,43,ICC ANF.12 E ICC ANF. 4
MAT0025,CÁLCULO 1,G,2021.1,ADAIL DE CASTRO CAVALHEIRO (30h),2N12 35N34,80,40,virtual
MAT0022,MATEMATICA 1,N,2021.1,LUIS HENRIQUE DE MIRANDA (30h),24N12,80,55,BSA S BT 26/13 E ICC ANF.12
MAT0022,MATEMATICA 1,M,2021.1,JOSE LUIS TERUEL CARRETERO (30h),35N34,80,48,virtual
MAT0047,TOPOLOGIA DOS ESPACOS METRICOS,A,2021.1,RAIMUNDO DE ARAUJO BASTOS JUNIOR (60h),24T23,40,14,remoto
MAT0117,SEMINÁRIO DE TÓPICOS EM MATEMÁTICA APLICADA,04,2021.1,ROGERIO CESAR DOS SANTOS (60h),24T45,5,0,FUP (remoto)
MAT0059,METODOS MATEMÁTICOS DA FÍSICA 1,A,2021.1,LUIZ DE OLIVEIRA AMORIM (90h),246M34,70,19,BSA S B2 34/10
MAT0129,GEOMETRIA PARA O ENSINO 1,B,2021.1,RAQUEL CARNEIRO DORR (90h),2T45 4T2345,40,39,ASS 451/10
MAT0025,CÁLCULO 1,T,2021.1,LILIANE DE ALMEIDA MAIA (30h),246N12,80,55,ICC ANF. 8
MAT0025,CÁLCULO 1,F,2021.1,ANDREA GENOVESE DE OLIVEIRA (60h),235M34,80,47,ICC ANF.12 E ICC ANF. 5
MAT0031,INTRODUCAO A ALGEBRA LINEAR,03A,2021.1,YEVSEY YEHOSHUA SOBOLEVSKY (60h),46T23,100,0,Remoto - FGA
MAT0025,CÁLCULO 1,N,2021.1,ADAIL DE CASTRO CAVALHEIRO (30h),234M34,80,50,ICC ANF.18 E ICC ANF.19 E PAT AT 012
MAT0025,CÁLCULO 1,S,2021.1,ALINE GOMES DA SILVA PINTO (30h),246M12,80,59,ICC ANF.12 E ICC ANF. 7
MAT0026,CÁLCULO 2,04A,2021.1,MATHEUS BERNARDINI DE SOUZA (90h),235M34,100,63,Remoto - FGA
MAT0025,CÁLCULO 1,D,2021.1,CELIUS ANTONIO MAGALHAES (60h),235M34,80,55,ICC ANF. 2 E ICC ANF. 8
MAT0134,ÁLGEBRA PARA O ENSINO 2,B,2021.1,CLEYTON HERCULES GONTIJO (90h),7M12 4N1234,32,13,darcy ribeiro
MAT0025,CÁLCULO 1,S,2021.1,WANG QIAOLING (60h),246M12,80,59,ICC ANF.12 E ICC ANF. 7
MAT0022,MATEMATICA 1,I,2021.1,GENILDO DE JESUS NERY (30h),46N12,80,28,BSA N A1 19/41 E ICC ANF.12
