Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
DPG0426,PLASTICIDADE,A,2021.1,LUCIVAL MALCHER (60h),35M12,10,8,a definir
ENM0190,DESENHO MECÂNICO PARA ENGENHARIA,A,2021.1,MAKSYM ZIBEROV (60h),6N1234 ,50,16,FT ET-70/14 LCC
ENM0109,VIBRACOES 1,A,2021.1,MARCELA RODRIGUES MACHADO (30h),3M34 5M34 4T23,28,22,ENM DT 11/15 E FT ET-70/14 LCC
ENM0121,MECANICA 2,B,2021.1,JOSE MAURICIO SANTOS TORRES DA MOTTA (60h),24M12,41,25,ENM DT 34/15
ENM0131,DESENHO MECANICO ASSISTIDO POR COMPUTADOR 1,01A,2021.1,ALINE SOUZA DE PAULA (60h),3T2345 5T45,50,38,ENM DT 34/15 E FT ET-70/14 LCC
ENM0180,ELEMENTOS DE AUTOMAÇÃO,01A,2021.1,GUILHERME CARIBE DE CARVALHO (60h),24M12,18,13,A1 14/83
ENM0129,PROJETO DE GRADUACAO 1,26,2021.1,FRANCISCO RICARDO DA CUNHA (30h),6N12 ,4,2,a definir
ENM0095,CONFORMACAO DOS METAIS,A,2021.1,ALYSSON MARTINS ALMEIDA SILVA (60h),4T45 6T45,30,2,ENM DT 34/15
ENM0129,PROJETO DE GRADUACAO 1,15,2021.1,CARLOS HUMBERTO LLANOS QUINTERO (30h),6N12 ,4,1,a designar
ENM0133,INTRODUCAO A ENGENHARIA MECATRONICA,A,2021.1,CARLA MARIA CHAGAS E CAVALCANTE KOIKE (10h),6M12 ,42,31,FT BT-34/15
ENM0130,PROJETO DE GRADUACAO 2,30,2021.1,JORGE LUIZ DE ALMEIDA FERREIRA (90h),7T123456 ,4,2,a definir
ENM0164,MECANICA DOS MATERIAIS 1,A,2021.1,JOSE ALEXANDER ARAUJO (60h),3M34 5M34,45,21,DT 52/15
ENM0130,PROJETO DE GRADUACAO 2,57,2021.1,DEBORAH DE OLIVEIRA (90h),7T123456 ,4,1,a definir
ENM0080,FENOMENOS DE TRANSPORTE,01A,2021.1,BRAULIO GUTIERREZ PIMENTA (75h),4T23 6T234,40,36,ICC BT 027
ENM0080,FENOMENOS DE TRANSPORTE,E,2021.1,FELIPE CHAGAS STORTI (60h),35T23 6T3,31,30,REMOTO FGA
ENM0130,PROJETO DE GRADUACAO 2,06,2021.1,ALINE SOUZA DE PAULA (90h),7T123456 ,4,3,a definir
ENM0084,SISTEMAS HIDRAULICOS E PNEUMATICOS,A,2021.1,AIDA ALVES FADEL (60h),3M34 3T23,21,10,ENM A1 11/85 E ENM DT 25/15
ENM0129,PROJETO DE GRADUACAO 1,04,2021.1,ALBERTO CARLOS GUIMARAES CASTRO DINIZ (30h),6N12 ,4,2,a definir
ENM0126,INTRODUÇÃO À CIÊNCIA DOS MATERIAIS,E,2021.1,PALLOMA VIEIRA MUTERLLE (45h),4M34 6M34,20,14,DT 43/15 E ENM DT 16/15
ENM0130,PROJETO DE GRADUACAO 2,45,2021.1,THIAGO DE CARVALHO RODRIGUES DOCA (90h),7T123456 ,4,2,a definir
ENM0142,SOLDAGEM,01A,2021.1,MAKSYM ZIBEROV (60h),46T23,20,5,DT 43/15
DPG0433,VIBRAÇÕES MECÂNICAS,A,2021.1,ALINE SOUZA DE PAULA (60h),4M1234 ,1,1,a definir
ENM0188,TÓPICOS ESPECIAIS EM SISTEMAS DINÂMICOS,02,2021.1,MARCUS VINICIUS GIRAO DE MORAIS (60h),35T6 35N1,20,1,a designar
ENM0171,PROCESSOS DE FABRICACAO,A,2021.1,WALTER GENNARI JUNIOR (60h),2M12 4M12,35,32,DT 43/15
ENM0109,VIBRACOES 1,B,2021.1,MARCELA RODRIGUES MACHADO (30h),3M34 5M34 4T45,28,14,ENM DT 11/15
